height_cm,weight_kg,age,years_active,training_hours_per_week,civilian_casualties_past_year,power_level,public_approval_rating,super_strength,flight,energy_projection,telepathy,healing_factor,shape_shifting,invisibility,telekinesis,is_good
169.1,77.2,52,14,13.7,0,72.6,70.6,1,0,1,0,0,0,1,1,1
182.2,78.1,45,26,21,2,76.8,71.4,1,1,0,0,0,0,1,0,1
157,80.7,50,9,11.9,0,68.9,62.2,0,1,0,1,0,0,0,0,1
187.5,77.8,28,8,27.3,1,58.1,57.5,0,1,0,1,0,1,1,1,1
168,94.5,27,0,29.5,0,85.2,100,0,1,0,1,0,0,1,0,0
174.2,113.2,37,15,31.1,3,63.9,83.1,0,1,0,0,1,1,0,0,1
168,71.6,32,5,30.6,0,47.7,73.3,0,0,0,0,0,0,0,0,1
217,59.5,25,8,20.7,5,39.3,60.3,0,0,0,0,0,0,0,1,1
179.7,78.7,59,26,28.1,4,88.9,56,0,1,0,0,1,0,0,0,1
158.8,118.7,35,3,15,1,79.2,62.4,0,0,1,0,0,0,0,0,1
196.5,67.9,51,26,43.6,3,71.3,70.9,1,1,0,1,1,0,0,1,0
155.6,104.6,42,27,27,2,63.4,27.4,1,0,0,1,1,1,0,1,1
184.2,105.2,19,1,25.1,3,62.1,33.6,1,0,1,0,0,0,0,0,1
150,71.7,50,28,45.9,1,53.9,52.3,1,0,0,0,0,1,0,1,0
153.4,88.5,18,3,17.6,3,63.5,69.1,0,0,1,0,0,1,0,1,0
183.9,104.4,34,0,18.7,1,38.2,60.2,0,0,0,0,1,0,0,0,1
194.8,74.3,29,18,19,6,59,94.6,0,1,1,0,0,1,0,1,0
183.4,76.9,65,25,29.3,1,65.3,35.4,1,0,1,1,0,0,0,0,1
177.7,71.3,56,24,34.3,1,79.1,50,1,1,0,0,1,1,1,0,0
174,64.8,42,9,37.4,3,69.4,95.4,1,0,1,0,0,0,0,0,1
150.4,70.3,58,20,55.7,3,81.9,67.6,1,0,1,0,1,0,0,0,1
165.6,61.6,34,14,7.5,2,90.2,82.7,0,0,0,0,1,0,0,0,1
170.8,80.5,57,26,36.1,0,85.9,100,0,0,0,1,1,0,0,1,1
201.1,68.5,47,21,24.4,1,77.1,51.1,0,1,0,0,1,1,0,0,1
186.9,83.5,47,18,24.1,7,70.2,63,0,1,1,1,0,1,0,0,0
150,56.7,54,15,23.8,3,55.3,59.6,0,1,0,0,1,1,1,0,0
186.5,85,51,20,20.9,3,81.1,25.9,0,1,0,1,0,0,1,1,1
172.3,92.5,50,26,46.8,0,95.2,58.8,0,0,0,0,0,0,0,0,1
166.5,50.1,29,23,38.4,1,75.1,82.6,0,1,0,0,0,0,1,0,1
192.2,85.6,37,21,30.2,2,98.8,75.8,0,1,0,1,1,0,0,0,1
200.6,98.4,40,3,43.5,4,47.1,77.4,0,1,0,1,1,0,1,1,1
198.6,61.9,35,1,14.9,0,52.7,57.5,0,0,1,1,1,0,0,0,1
163.2,105.1,37,29,16.7,4,82.8,51.9,0,1,0,0,0,0,0,1,1
173.8,86.3,71,24,8.2,2,74,90.4,0,0,0,1,1,0,0,0,0
186.6,69.4,57,12,23,0,89.7,55.1,1,1,0,1,1,0,0,0,1
199.5,79.2,55,27,31.6,1,69.8,70.9,0,0,0,0,0,0,1,0,1
170.4,88.4,38,0,31,1,57,68.3,0,0,0,1,0,1,0,1,1
176.3,81.1,36,16,31.5,2,66.8,94.2,1,0,0,0,0,0,0,0,1
157.9,88.1,27,12,15.9,0,47,84.4,1,0,0,0,0,1,0,0,1
156.1,66.2,36,3,38,0,53.1,39.1,1,0,0,0,0,0,0,0,1
196.3,82.5,43,6,32.4,3,84.6,41.2,0,1,0,1,0,1,0,0,1
207.1,58.8,27,16,37.3,0,83.1,76.6,0,0,0,0,0,0,1,0,1
178.6,78.3,36,8,11.1,1,75.4,63.7,0,0,1,0,0,0,1,1,1
200.1,66.4,36,3,33.1,1,44.2,55.9,0,0,0,0,0,0,0,0,0
187.2,69,25,18,18.1,1,64.6,85.3,1,0,1,0,0,1,0,0,0
167.1,98.5,24,0,26,3,51.6,68.7,0,0,1,0,1,0,0,0,0
187.2,96.4,33,9,35.3,1,87.6,66,0,0,0,0,0,0,1,0,1
210.8,89.1,53,3,30.9,3,61.2,80.6,0,0,1,1,0,1,1,0,1
179.3,63.6,45,8,21.5,2,53.7,57.5,0,0,0,1,0,0,0,0,0
211.3,75.3,26,12,30.1,0,70.4,96.4,0,0,0,1,0,0,1,1,0
150,98.2,47,13,14.7,0,60.4,49.2,1,0,0,1,1,0,0,0,1
196.4,82.1,18,9,41.5,1,92.3,78.1,1,0,1,0,0,0,0,1,0
181.7,114.8,47,5,27.9,1,59,93.7,1,1,0,0,0,0,1,0,1
174,85.9,36,15,41.2,3,49,37.5,0,0,1,0,1,0,0,0,1
181.8,82.9,36,5,24.7,2,37.7,58.1,0,0,0,0,0,1,0,1,1
150,75.4,55,16,24.8,1,69.5,87.8,0,0,1,1,0,1,0,1,0
175.6,82,28,9,22.4,0,61.6,88.1,0,0,0,0,0,0,0,0,0
187.1,77.7,26,17,38.8,1,48.6,61.6,1,0,0,1,0,0,0,0,1
209.6,90.6,42,26,22.9,2,87.8,50.3,0,0,0,0,1,1,1,0,1
169.6,94.4,57,21,36.4,1,80,84.1,1,0,0,1,0,1,0,0,1
163.8,68.2,32,17,26.2,1,69.6,88.7,0,0,0,0,1,1,1,0,1
170,60,18,2,10.2,0,90.5,41.7,0,0,1,0,1,0,0,1,0
198.3,52.5,41,19,24.3,2,79.9,40.9,0,0,0,1,0,1,0,0,1
186.6,87.6,50,26,18.2,4,57.7,69.5,0,1,1,0,0,1,1,0,0
169.4,63.4,52,20,30.3,1,54.4,77.6,1,0,0,1,0,0,0,0,1
190.3,47.7,44,24,18.1,1,82.3,59,0,0,1,0,0,0,0,0,0
181.9,85.8,44,27,39.3,7,75.9,78.6,1,1,0,0,0,0,0,0,0
199.4,117.4,56,14,29.1,1,72.5,50.8,1,1,0,1,0,0,0,0,0
166,79.9,21,14,28.2,2,57.3,22.7,0,0,1,0,0,1,0,1,0
173.4,92.6,34,3,36.6,0,79.1,56.5,1,1,0,1,1,1,1,0,1
172.2,81.2,55,28,39.6,2,58.7,66.3,0,0,0,0,0,1,1,1,0
150.7,78.5,53,26,29.8,0,68.5,59.5,0,0,0,0,0,1,0,0,1
185.9,93.8,34,8,22.3,6,91.7,41.8,1,0,0,0,1,0,1,1,1
185.2,75.6,48,26,12.3,3,60.1,28.7,1,0,0,0,0,0,1,1,0
180.1,84,19,25,23.1,3,46.4,54.7,0,0,1,0,0,1,1,1,0
175.3,84.8,40,18,23.8,2,54.2,83,0,0,0,0,0,0,0,1,1
151.7,70,50,23,31.1,2,84.9,90.1,0,0,0,0,0,0,0,0,1
171.6,94.9,40,27,26.5,1,73.8,88.8,0,0,0,0,0,0,0,1,0
173.1,77.4,40,16,36.9,4,68.1,48.7,0,0,0,0,0,0,0,1,0
164,68.7,42,10,23.9,6,62.4,41.9,1,0,0,0,0,0,0,0,0
176.8,88,46,24,29.4,1,77.3,74.9,0,0,1,0,1,0,0,0,0
188.1,66.5,40,8,41.8,5,57.3,77.7,0,0,1,0,0,0,0,0,1
217.7,80.4,33,9,33.4,2,74.6,73,0,1,0,0,0,1,0,0,1
183.5,79.9,41,17,29.4,2,59,24.7,0,0,1,0,0,1,0,0,0
185.2,96.3,47,19,24,1,56.5,47.7,0,0,0,0,0,1,0,0,1
178.5,87.1,44,12,23.7,0,60.4,64.4,0,1,1,1,0,0,1,0,1
150,79.6,31,7,21.5,0,64.4,74.7,1,0,0,1,1,1,0,1,0
179.5,92.3,42,6,24.6,1,69.3,80.3,0,1,0,0,0,1,1,0,1
181.2,100.9,50,16,37.6,1,73.5,67.9,0,0,0,0,0,0,1,1,1
229.3,88.4,21,20,27.8,1,14.7,71.6,1,0,0,1,0,1,1,0,0
176.2,80.2,58,22,16.5,1,57.9,66.7,0,0,0,0,0,0,1,0,0
186,60.3,43,14,47.7,8,64.1,78.7,0,0,0,1,0,1,1,0,1
179.3,64,50,19,33.2,1,92.6,71.3,0,0,0,1,0,0,0,0,1
156.6,75.4,54,14,15.9,1,53.8,66.3,0,1,0,0,0,0,1,0,1
202.9,70.9,23,0,25.6,0,72.4,59.6,0,1,0,0,0,0,1,0,0
195,77.2,40,24,31.1,0,92.4,66.6,0,0,0,1,0,0,1,0,1
195.8,80.8,39,13,47,3,50.3,74.7,1,1,0,1,0,0,0,0,1
161.8,87.9,27,4,18.9,2,75.9,70.3,1,0,0,0,0,1,0,0,0
208.1,78.9,58,10,39.8,3,58,72.6,0,0,0,0,1,1,0,0,1
152,87.3,36,15,44,0,62.4,91.9,0,0,1,0,0,1,0,0,1
191.7,81,28,1,23.7,2,58,70.3,0,1,1,0,1,0,1,0,0
223.8,50.4,43,7,27.2,1,59,52,0,0,0,1,0,1,0,0,1
160.2,65.9,28,10,19.6,1,100,82.7,0,0,0,1,0,0,0,0,0
168.7,77.8,43,28,28,0,82.7,37.7,0,1,0,0,0,1,0,0,0
182,61.9,49,17,29.6,0,86.5,43.4,0,0,1,1,0,0,0,0,1
169.9,89,32,2,36.6,1,77.4,71.7,1,0,0,0,0,0,0,0,1
150,103,50,29,40.9,0,45.9,75.3,0,0,0,0,0,1,0,0,1
181.4,98.3,42,25,22.5,9,75.9,40.1,1,0,0,0,1,1,0,0,1
158.8,76.8,20,0,10.3,1,86.1,57.3,1,0,0,0,0,0,0,0,1
189.5,102.4,44,10,29.8,0,57.2,52.9,0,1,0,0,0,1,0,0,1
161.6,82.2,61,15,32.9,0,84.5,55.3,1,0,0,0,0,0,1,1,1
211,74.9,40,17,32.5,2,80.6,83.9,1,0,0,1,1,1,1,1,1
164.3,70.8,50,29,26.7,0,97.8,79.1,0,0,0,1,1,0,1,0,0
173.6,75.5,51,15,31.2,4,63.7,64.6,0,0,0,0,0,0,0,1,1
196.3,74.2,33,22,45.2,7,53.5,54.1,0,0,0,0,1,0,0,0,1
155.4,82.6,55,9,33.8,1,64.6,38,1,1,0,0,0,0,0,0,0
184.5,82.4,43,17,26.3,1,91.5,93.4,0,0,1,1,0,1,1,1,0
206.1,80,52,5,25,0,42.6,76.8,0,0,0,0,0,0,1,1,0
150,86.6,33,18,28.3,2,39,50.9,0,0,0,0,1,0,0,0,0
183.7,97.9,54,3,46.4,1,71.3,79.4,0,0,0,0,1,0,1,0,1
185.2,94.2,55,26,28.2,1,63.4,63.6,0,1,0,0,1,0,0,0,1
195.6,57.7,45,12,29.8,0,70.1,59.3,1,1,0,0,0,1,0,0,0
155.3,45,49,23,25.2,2,84.2,73.7,0,0,0,1,1,0,0,0,1
153.6,94,40,13,41,1,61.7,50.2,1,1,0,1,0,0,0,0,1
190.4,59.5,52,2,49.6,0,41.9,58.1,1,0,0,0,0,0,0,1,1
185.9,76.6,38,9,34.5,2,100,67.4,0,0,0,0,0,0,1,0,1
185,62.4,20,5,30.8,2,55,55,0,0,0,0,0,1,0,1,0
186.9,53,26,0,30.4,4,54.1,78.4,1,0,0,1,0,0,0,0,1
166.4,88.1,43,22,6.2,0,86.6,100,1,1,0,0,0,0,1,0,1
184.6,91.4,50,23,37.5,3,64.2,49.9,0,0,0,0,1,1,0,0,0
185.9,71.4,47,26,31.3,2,69,31.7,0,0,0,0,0,0,0,0,1
165.7,45,54,13,34.3,0,77.2,25,0,1,0,0,0,1,0,0,0
217.3,71.8,22,7,22.9,2,86.3,62,1,0,0,0,1,0,0,0,0
189.5,85.9,47,18,26.2,1,65,51.7,1,1,0,0,0,1,0,0,0
156.2,57.8,24,13,25.9,6,92.8,69.2,0,0,1,0,0,0,0,0,0
193.1,82.8,46,9,40.2,0,38,67.7,1,0,1,0,0,0,0,0,1
160.5,79.8,39,16,26.2,2,81.4,32.9,0,1,0,0,0,0,0,0,0
195.7,88.7,43,8,50.8,1,57.4,28.7,1,0,0,0,0,1,1,0,1
203.2,81.8,43,28,34.3,6,90.6,70.9,0,1,0,0,0,1,1,0,1
163.6,65.4,47,5,17.2,1,72.1,67.7,0,0,0,0,1,0,1,0,0
199.3,97.9,48,10,28.7,7,59.9,56.5,0,1,1,0,0,1,0,1,0
188.3,77.6,53,24,23.5,5,79.9,31.9,0,0,1,1,0,0,0,0,0
196.4,79.6,35,6,8.1,1,83.4,74.4,0,0,1,0,0,1,1,0,1
217.9,66,47,16,46,3,79.6,90.4,0,1,0,0,0,1,0,0,1
175.1,73.4,41,27,37,11,54.6,70.6,0,0,0,0,0,0,0,0,0
164.9,66.7,54,27,35.3,1,62.7,48.1,0,1,1,0,1,1,1,0,1
162.2,77.4,50,0,31.7,1,69.9,65.9,0,1,0,0,1,0,0,0,0
163.7,105.7,58,21,16.2,1,69.4,37.7,1,1,1,1,0,0,0,1,1
178.5,59.4,27,4,25.2,1,81.2,86.2,1,1,0,0,1,0,1,0,1
186.8,55.8,39,8,38.4,0,39.8,66.6,0,0,0,0,0,1,1,0,1
185.5,102.1,29,17,19.5,0,75,29.6,0,0,0,1,0,1,0,0,1
196.5,76.9,54,23,4.7,1,65.7,59,0,0,0,1,0,1,0,0,0
180.3,70,52,26,27.7,1,57.4,74.3,1,0,0,1,0,1,0,0,1
209.1,95.6,25,20,28.6,0,58.9,58.3,1,0,0,1,1,1,1,1,0
174.7,70.9,24,1,31.4,4,66.8,59.5,0,0,0,1,0,0,0,1,1
234.4,107.4,43,28,37.3,2,16,40.5,1,0,0,0,0,0,0,1,1
192.5,90.2,45,25,36.4,0,59.5,76.3,1,0,0,0,1,0,1,0,1
162.9,72.7,29,10,32.6,2,56.9,52,1,0,0,0,1,0,0,1,1
158.6,112.4,51,26,42,2,78,21.9,0,1,1,1,1,0,1,0,1
189.6,70.9,53,27,14.8,6,57.9,57.6,0,0,0,1,0,0,1,1,1
175.5,91.1,33,5,35,0,66.8,84.6,0,0,0,0,0,1,0,1,0
194.3,84.5,42,25,36.3,1,93.1,57.3,0,1,1,0,0,1,1,0,1
189.5,99.5,49,7,17.6,5,84.9,99.8,0,0,1,1,0,0,0,0,1
178.5,103.4,52,3,15,5,83.5,73.6,0,1,0,1,1,1,1,0,0
163.1,80.5,39,17,22.5,3,62.5,71.8,0,0,1,0,1,0,1,1,0
150,68.7,42,27,23.4,3,78.1,62.4,0,0,0,1,1,1,0,0,0
171.1,86.9,47,10,37.5,0,66.5,63.6,0,0,0,0,0,0,1,1,0
197.1,69.8,31,4,23.9,1,67.1,59.7,0,1,0,0,1,0,1,0,1
184.3,110.2,39,14,21.4,1,76.1,59,1,0,0,0,1,1,0,0,0
155.1,82,58,27,23.9,0,61,75.6,1,1,1,0,0,0,0,0,0
183.5,74.5,23,17,41.2,3,92.4,46.3,0,0,1,0,0,0,0,1,1
187.7,82.8,50,1,30.1,0,67.6,43.5,0,0,1,1,1,0,0,0,1
162.3,59.8,50,21,28.2,1,79.3,42.5,0,0,1,1,0,0,1,0,1
183.1,65.4,35,10,28.9,6,91.8,100,0,0,0,1,1,1,1,0,1
181.2,98,48,25,42.9,0,85.5,75.6,1,0,0,0,0,0,0,0,1
157.1,70.1,44,24,22.5,8,48.9,71.1,0,1,1,0,1,1,0,0,0
187.2,64.3,25,12,43.2,10,76.7,43.8,0,0,1,0,1,0,0,0,0
191.2,88,52,3,32.1,2,82.8,77.5,1,0,1,0,0,0,0,1,1
201.7,97.8,47,21,28.4,0,83.4,62.7,0,0,1,0,1,0,0,1,1
201.1,90.8,41,6,55,1,53.3,69.3,0,1,0,0,0,1,0,0,0
152.4,94.9,55,28,19.4,1,60.1,45.5,0,1,1,0,0,0,0,1,1
161.2,68.6,31,10,26.5,1,84.9,68.2,0,1,1,1,0,0,1,1,0
190.3,58.7,46,21,17.7,1,58.6,56.5,0,1,1,0,0,0,0,0,0
190.3,102.5,43,23,39.5,7,65.5,49.7,0,1,0,1,1,0,0,0,1
190.3,75.2,47,3,46.9,0,93.6,79.7,0,1,0,0,1,1,0,0,0
250,76.2,28,27,46.7,3,69.3,34.2,1,1,0,1,0,0,1,0,1
191.4,99.9,45,14,42.2,0,59.1,76.3,0,0,0,0,0,0,1,0,1
202.7,88.3,31,0,28,2,56.8,78.7,1,0,0,0,0,0,1,1,1
199.1,86.8,49,22,26.3,5,75,47.4,0,0,0,0,0,0,0,1,0
193,112.5,41,2,13.3,1,50,48.6,0,0,0,1,1,0,0,0,1
173.7,70.3,34,13,50.4,0,66.3,60.5,0,0,0,0,0,0,0,0,1
195.2,93.9,27,5,34.7,2,75,70.6,0,0,0,0,0,0,0,0,1
164.5,80.9,41,17,25.1,2,89.5,61.9,0,1,0,1,0,0,0,1,1
175.3,84,37,24,43.3,2,80,73.7,0,0,0,0,0,0,1,0,1
170.3,102.9,39,0,20.3,1,59.3,100,1,1,0,0,1,1,0,0,1
181.6,87.6,34,5,34.1,1,87.7,54.8,0,1,0,0,0,1,0,0,1
226.3,88.1,18,5,28.3,6,65.5,30.7,0,1,0,0,0,0,1,0,1
150,96.1,38,20,36.4,5,51.5,81.5,1,1,0,0,1,0,0,0,1
193.7,74.5,33,15,29.4,1,67.4,98.7,0,1,0,0,1,1,0,1,0
150,67.4,34,28,15.5,4,91.6,72.9,0,0,1,0,1,1,0,0,1
170.6,64.3,25,4,30.8,1,72.5,43.2,1,0,0,0,1,0,0,1,1
201.8,50.5,43,16,40.5,1,70.2,62.5,0,0,0,1,1,1,1,0,0
181.3,110.8,54,9,29.7,0,94.6,42.6,0,1,1,0,0,1,0,0,0
158.4,63.5,53,27,37.8,1,48.5,77.9,0,1,0,0,0,0,1,0,0
165.7,76.7,40,20,19.5,2,50.7,38,0,1,1,0,0,0,1,1,0
193.6,75.8,46,17,29.7,0,45.8,59,0,0,1,0,1,1,1,1,0
165.4,84.6,34,6,23.8,1,75.6,44.9,0,0,0,0,0,0,0,0,1
184.3,92.2,31,2,37.5,3,72.5,67.5,1,0,0,0,0,1,0,1,1
180.9,92.9,28,12,30.3,2,93.1,57.7,1,0,0,0,0,1,0,0,0
167,71.3,29,14,36.9,2,73.7,68.5,0,0,0,1,1,1,0,0,0
222.9,77.5,40,19,40.9,5,63.9,65.4,0,0,0,0,0,0,1,0,1
192.7,84.2,46,18,36.9,0,70,45.3,1,1,0,0,0,0,0,1,1
150,76.3,34,2,32.7,2,71.8,77.5,0,0,1,0,0,0,1,0,1
183.7,104.1,33,3,20,3,44.9,64,0,0,0,0,1,1,0,0,0
166.8,87.4,24,4,30,2,100,45.2,0,1,0,1,0,1,0,0,0
197,91,40,0,24.7,1,77.8,100,1,0,0,0,0,0,1,0,1
164.1,89.9,21,3,26.6,0,73.2,74.5,0,0,0,0,0,0,0,0,1
177.7,97.6,49,11,26.3,4,79.2,61.9,1,0,0,0,0,1,1,0,1
190.1,82.7,40,27,20.2,1,80.6,93.3,0,0,0,0,0,1,0,0,0
197.3,60.5,42,26,10.4,4,67.9,100,0,0,0,0,0,0,1,1,1
156,86,27,23,23.3,2,60.5,62.1,0,0,1,0,0,0,0,0,1
173.3,70.2,39,9,31.9,2,79,71.9,0,0,0,0,1,1,1,0,1
170.5,72.1,56,22,16.5,3,75.8,45.2,1,0,0,0,0,1,0,0,1
166.9,88.8,51,24,30.2,2,57.9,62.1,1,0,0,0,0,1,0,0,1
215.3,98.6,55,20,49,1,91.3,61,0,1,0,0,1,0,1,1,1
188.1,80.3,55,28,40.2,1,74.4,68.7,1,0,0,0,1,0,1,0,1
154.8,84.6,35,25,46.4,3,80.9,71.7,1,1,1,0,0,0,0,1,0
198.4,105.5,42,19,33.9,1,90.9,76.2,0,0,1,1,0,1,0,1,1
222.4,83.6,37,23,41.7,1,70.3,69.8,0,0,0,0,1,1,0,1,0
200.6,119,59,24,22.8,0,74.8,40.8,0,1,0,1,1,1,0,0,0
150,88.5,28,12,23.6,5,82.2,46.2,0,0,0,0,0,0,1,0,1
170.3,53.6,52,22,2.6,0,59.1,54.1,0,0,0,1,0,1,0,0,1
205.3,91.3,51,13,41.9,2,70.8,59.4,0,0,0,0,0,0,0,1,1
165.8,85.7,65,22,45.4,1,71.9,86,0,0,0,0,0,0,0,0,1
188.9,99.3,34,4,24.5,1,55.7,41.7,1,1,0,1,0,0,0,0,1
195.5,90.1,45,3,27.5,2,100,57.9,1,1,0,1,0,1,1,0,0
161.5,77.9,65,13,22.5,0,48.9,84.1,0,0,1,0,0,1,1,0,1
178.8,61.6,32,9,33.8,2,50.5,59,0,0,1,0,0,0,0,1,1
150,76.9,29,16,41.2,3,89.7,74.2,0,0,0,0,0,0,1,0,1
159.5,67.2,18,9,12.6,4,80.7,62.2,0,1,0,1,0,1,0,0,1
174.9,71.3,53,25,34.1,0,54.6,70.1,0,1,1,0,0,0,0,0,1
155,88.8,18,6,27.2,5,79.1,60.4,0,1,0,0,0,1,0,0,1
212.6,105,41,15,31.1,2,92,78.3,0,0,1,1,1,0,0,1,0
151.4,85.9,41,0,34.6,4,69.5,34.1,0,1,0,1,0,0,0,1,1
171.2,62.1,46,16,28.1,1,100,57.7,0,0,0,0,1,0,0,0,1
182.6,86.7,51,20,29,2,44.1,70.9,0,0,0,0,0,0,1,0,1
208.8,97.9,49,28,27.9,5,80.4,75.7,1,1,1,1,0,0,1,0,0
151.3,70.9,52,8,39.7,5,87.5,94.9,1,0,0,0,0,0,1,1,1
203.3,78,28,5,34.2,1,83.4,57.2,0,1,0,1,1,0,0,1,1
180.2,80.2,39,18,32.2,1,66.9,94.6,0,0,0,0,0,0,0,1,1
160.4,68.2,33,12,17.3,1,65.6,51.8,0,1,1,0,0,1,0,0,1
189.2,89.7,44,2,26.2,1,76.7,91.6,0,0,1,0,0,0,0,1,0
184,78.2,48,6,39,1,82.2,81.3,0,0,1,0,1,0,0,1,1
168,86.3,52,21,30.4,1,79,46.7,0,0,1,1,1,1,0,0,1
181.4,66.7,49,8,36.6,4,85.6,71.1,1,0,0,0,0,0,0,0,1
172.3,73.4,34,21,47.7,0,54.7,64,0,0,0,0,0,0,0,1,1
182.3,90.8,52,4,40.4,2,66.6,77.5,1,0,0,0,0,1,0,0,1
193.2,74.4,50,9,30.9,0,55.9,60.5,0,0,0,0,0,1,0,0,1
211.7,105.9,54,22,24.9,1,64.2,58.9,0,0,1,0,0,1,0,0,1
155.2,74,62,16,4.5,0,85.2,92.4,0,0,1,0,1,0,0,0,1
222.7,83.4,24,11,28.3,1,71.6,63,0,0,0,0,1,1,1,0,1
150,94,37,22,26.7,3,100,81.5,0,1,0,1,0,0,0,0,1
177,58.7,34,15,33.9,4,72.9,60.5,0,1,1,1,0,0,1,1,1
191.8,53.6,39,2,28.5,1,70.9,98.3,0,0,0,0,0,1,0,1,1
185.6,57.1,42,29,26.8,1,71.6,51.4,0,0,0,0,0,0,0,1,1
167.5,98.9,52,24,12.2,1,60.4,52.7,0,1,0,0,0,1,1,0,0
175.8,71.7,62,21,20.6,4,69.1,95.5,1,0,0,0,0,0,0,0,0
170.1,118.4,48,8,34.8,3,86.9,56.1,0,0,0,1,0,0,0,0,0
168.2,71.5,50,28,47.2,1,71.7,97,0,0,0,0,0,1,1,0,1
197,82.8,30,14,29,2,58.1,82.8,0,0,0,0,1,0,0,0,0
187.1,103.1,29,4,33.3,4,56.1,61.9,1,0,1,0,0,1,0,1,1
166.1,110.1,57,22,39.5,0,63.2,28.7,0,0,0,0,0,1,1,0,1
198,110.9,49,12,21.9,1,71.1,64.6,0,0,0,0,0,1,1,0,1
186.1,98.1,40,13,33.7,5,87.9,67,0,0,1,0,0,0,0,0,0
196.3,95.4,37,19,22.6,3,49.9,88.3,0,0,0,0,1,0,0,0,0
192.6,88.9,18,14,38.6,2,65.2,96.8,0,0,0,1,1,1,1,1,1
163.4,91.7,32,15,31.5,2,72.2,51.3,1,0,1,1,0,1,0,1,1
168.8,71.7,64,22,33,1,42.5,81,1,0,0,1,1,0,0,0,1
194.9,67.7,27,12,22.2,1,57.5,80.3,0,1,1,1,0,1,0,0,0
192.2,79.9,46,16,37.1,2,59.8,86.5,0,0,0,0,1,0,1,0,1
179.6,77.4,58,22,50.8,1,58.1,75,0,0,0,1,0,1,0,1,1
182.3,73.2,25,7,19.9,3,72.9,26.2,0,0,0,0,0,0,1,0,1
205.6,90.4,46,20,26.6,4,67.6,61.9,1,0,0,0,0,0,0,0,1
168.2,94.3,46,1,32.3,0,61.7,41.9,0,0,1,1,1,0,0,0,0
190.9,81.3,34,4,37.9,1,76.4,60.9,0,0,0,0,0,0,1,0,0
176,102.2,67,5,24.4,1,95.8,84.6,0,1,1,1,1,1,1,0,1
175.6,62.9,25,11,1.7,2,94.6,71.1,1,0,1,0,0,0,0,0,1
202,77.1,55,17,43.6,1,41.2,88,0,1,0,1,1,1,0,0,0
196.5,69.2,44,29,37.6,2,78.7,71.8,0,0,1,0,0,0,1,0,1
196.3,52,52,21,12.6,4,67.3,39,0,1,0,0,1,0,0,1,0
206.1,78.8,48,21,23.9,1,72.3,14.6,0,1,0,0,0,0,0,0,1
180.4,78.2,28,0,45.7,5,64,68,1,1,1,1,0,0,0,0,0
193.6,102.7,53,29,44.5,10,71.8,60.7,0,0,0,0,1,0,1,1,1
173.8,89.5,27,16,39.4,0,72.3,45.5,0,0,0,0,1,0,1,1,1
186.5,64.6,55,29,28.2,1,61.3,31,0,1,0,0,0,1,1,0,0
177.4,107.8,42,10,30.8,6,56.6,50.3,1,1,0,0,0,0,0,0,0
181.9,98.3,48,9,28.7,6,63.3,61.1,0,1,0,0,0,0,0,0,1
191.9,88.7,55,18,41.3,0,73.5,78.3,0,0,0,0,0,1,0,1,0
